date,value
1 januar 2022,"1,23"
15 januar 2022,"3,21"
30 januar 2022,"4,55"
1 februar 2022,"10,67"
15 februar 2022,"333,23"
28 februar 2022,"343,33"
1 mars 2022,"11,32"
15 mars 2022,"3,98"
30 mars 2022,"44,12"
1 april 2022,"1,22"
15 april 2022,"9,04"
30 April 2022,"45,05"
1 mai 2022,"788,02"
15 mai 2022,"65,21"
30 mai 2022,"67,55"
1 juni 2022,"127.897,23"
15 juni 2022,"322.222,21"
30 juni 2022,"240,55"
1 juli 2022,"170,23"
15 juli 2022,"3,09"
30 juli 2022,"42,06"
1 august 2022,"89,43"
15 august 2022,"7,21"
30 august 2022,"1,55"
